name,party,state,district,legislature,profile_link
90 Hernández Sáenz Claudia Alejandra,MORENA,Tamaulipas,Dtto. 9,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=268
91 Hernández Tapia Arturo Roberto,MORENA,México,Dtto. 35,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=160
92 Hernández Villalpando Rafael,MORENA,Veracruz,Dtto. 10,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=281
93 Hernández Villanueva Rocío,MORENA,Veracruz,Dtto. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=774
94 Herrera Villavicencio Mónica,MORENA,Veracruz,Dtto. 7,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=278
95 Huerta Jurado Javier,MORENA,México,Dtto. 37,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=162
96 Jara Rodríguez Claudia Guadalupe,MORENA,Nuevo León,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=879
97 Jiménez Ramírez Yolis,MORENA,Hidalgo,Dtto. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=601
98 Juan Carlos Irma,MORENA,Oaxaca,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=200
99 Llergo Latournerie Mario Rafael,MORENA,Tabasco,Dtto. 6,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=259
100 López Fernández Cecilio,MORENA,Jalisco,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=610
101 López Guadarrama Carlos,MORENA,México,Dtto. 25,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=150
102 Luévano Luna Salma ,MORENA,Aguascalientes,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=377
103 Madero Yáñez Pedro Francisco,MORENA,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=945
104 Malaga Domínguez Cecilia Guadalupe,MORENA,Oaxaca,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=910
105 Mares Cossío Héctor Ireneo,MORENA,Baja California,Dtto. 6,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=9
106 Marín Díaz Fernando ,MORENA,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=455
107 Marín Rodríguez Héctor Jesús,MORENA,Tamaulipas,Dtto. 7,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=766
108 Martínez Espinoza Gabriela,MORENA,Sonora,Dtto. 6,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=252
109 Martínez López Jaime ,MORENA,Michoacán,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=492
110 Maya Martínez Hirepan,MORENA,Michoacán,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=490
111 Medina Filigrana Marcos Rosendo,MORENA,Tabasco,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=254
112 Mejía Soto Jim ,MORENA,Hidalgo,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=996
113 Méndez Denis Lorena,MORENA,Tabasco,Dtto. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=256
114 Mendoza Álvarez Mayra Alicia,MORENA,Chiapas,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=416
115 Merlín García María del Rosario,MORENA,Guerrero,Dtto. 9,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=98
116 Mier Velazco Moisés Ignacio,MORENA,Puebla,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=447
117 Morales Miranda Flor Ivone,MORENA,Ciudad de México,Dtto. 21,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=58
118 Morales Romero Martha Rosa,MORENA,Veracruz,Dtto. 16,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=287
119 Moreno Guerra Evangelina,MORENA,Baja California,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=8
